,index,0
0,beer,4919
1,head,3826
2,taste,3182
3,chocolate,2896
4,dark,2822
5,like,2521
6,sweet,2467
7,coffee,2244
8,bourbon,2170
9,vanilla,2084
10,notes,2064
11,nice,2062
12,nose,2050
13,light,1962
14,good,1956
15,medium,1833
16,orange,1817
17,finish,1811
18,just,1792
19,fruit,1766
20,carbonation,1765
21,pours,1755
22,aroma,1743
23,white,1704
24,body,1671
25,black,1654
26,bottle,1652
27,bit,1641
28,mouthfeel,1629
29,overall,1625
30,barrel,1586
31,really,1539
32,flavor,1521
33,oak,1489
34,lacing,1446
35,great,1441
36,brown,1432
37,glass,1427
38,smooth,1417
39,little,1414
40,citrus,1360
41,flavors,1321
42,smell,1270
43,feel,1258
44,color,1232
45,malt,1213
46,bitterness,1148
47,poured,1143
48,caramel,1138
49,creamy,1119
50,sweetness,1082
51,dry,1055
52,stout,1019
53,maple,934
54,sour,925
55,big,919
56,hazy,904
57,rich,892
58,grapefruit,891
59,balanced,852
60,tropical,849
61,bitter,847
62,hop,841
63,alcohol,834
64,palate,823
65,ve,814
66,tart,802
67,coconut,791
68,best,791
69,hops,787
70,funk,785
71,quite,759
72,pineapple,747
73,slightly,746
74,mango,745
75,bodied,705
76,abv,699
77,pour,699
78,finger,684
79,cinnamon,671
80,hint,670
81,juicy,664
82,peach,663
83,smells,660
84,roasted,654
85,wine,649
86,touch,646
87,slight,640
88,beers,639
89,fresh,637
90,time,631
91,complex,631
92,ipa,627
93,retention,623
94,pretty,619
95,way,618
96,moderate,614
97,soft,610
98,malts,603
99,balance,598
100,strong,598
101,lemon,589
102,super,587
103,pine,583
104,excellent,569
105,definitely,568
106,sugar,568
107,aromas,562
108,heavy,561
109,mouth,558
110,lots,556
111,juice,555
112,tan,550
113,drink,548
114,fruits,546
115,mild,545
116,yellow,537
117,style,536
118,molasses,535
119,deep,533
120,better,531
121,perfect,525
122,cherry,521
123,amazing,519
124,quickly,517
125,toffee,517
126,fruity,515
127,end,501
128,earthy,496
129,dank,494
130,appearance,491
131,lot,481
132,look,481
133,golden,477
134,huge,474
135,boozy,472
136,character,471
137,vintage,470
138,sticky,469
139,think,467
140,aged,466
141,cocoa,464
142,red,461
143,delicious,458
144,try,454
145,brew,451
146,follows,450
147,foam,449
148,roast,449
149,floral,442
150,bright,436
151,long,435
152,high,431
153,low,429
154,heat,427
155,booze,425
156,small,423
157,syrup,411
158,milk,408
159,tastes,406
160,amp,406
161,apricot,392
162,minimal,387
163,subtle,387
164,base,383
165,old,383
166,right,381
167,maybe,381
168,honey,380
169,green,379
170,12,379
171,snifter,373
172,comes,370
173,don,369
174,easy,369
175,opaque,366
176,fantastic,364
177,oz,364
178,hints,363
179,note,362
180,sip,356
181,love,355
182,funky,355
183,finishes,353
184,doesn,352
185,solid,351
186,apple,350
187,drinking,344
188,beautiful,343
189,expected,342
190,ring,340
191,clear,335
192,tulip,335
193,stouts,335
194,pale,330
195,sure,329
196,fudge,328
197,got,326
198,10,326
199,fairly,324
200,acidity,324
201,complexity,324
202,leaves,324
203,lingering,323
204,worth,319
205,tangerine,318
206,years,317
207,profile,317
208,presence,316
209,roasty,310
210,ale,307
211,does,305
212,tartness,305
213,drinkable,304
214,thanks,303
215,wood,303
216,clean,303
217,tongue,303
218,toasted,299
219,spice,297
220,20,297
221,forward,294
222,world,292
223,cherries,290
224,warms,289
225,looks,287
226,ba,287
227,2018,286
228,hoppy,285
229,crisp,284
230,favorite,283
231,nicely,283
232,raspberry,282
233,come,281
234,21,281
235,hype,281
236,mocha,277
237,tasty,277
238,blend,276
239,cream,276
240,pepper,273
241,batch,272
242,herbal,272
243,going,271
244,canned,270
245,wonderful,268
246,present,266
247,16,266
248,absolutely,265
249,colored,264
250,drank,263
251,aftertaste,262
252,gold,261
253,cap,260
254,fluffy,259
255,brewery,257
256,half,257
257,spicy,257
258,incredible,254
259,followed,253
260,lightly,253
261,tons,251
262,wow,250
263,2017,250
264,tap,250
265,2020,249
266,acidic,248
267,melon,247
268,imperial,246
269,thing,246
270,tasting,246
271,2019,245
272,probably,244
273,grape,244
274,oily,244
275,yeast,243
276,stone,242
277,bubbles,242
278,amber,242
279,cloudy,242
280,date,240
281,makes,238
282,pitch,236
283,decent,235
284,enjoyable,234
285,version,234
286,looking,233
287,isn,232
288,dense,231
289,intense,231
290,say,230
291,overly,230
292,year,229
293,perfectly,229
294,2016,227
295,ripe,226
296,malty,225
297,19,225
298,viscous,225
299,day,225
300,away,224
301,tobacco,224
302,lingers,223
303,pleasant,222
304,lace,222
305,leather,221
306,licorice,221
307,review,221
308,fades,220
309,plenty,219
310,raisin,218
311,awesome,217
312,bite,217
313,silky,216
314,know,216
315,burn,215
316,18,215
317,level,215
318,class,215
319,carb,215
320,sourness,215
321,house,214
322,fine,213
323,burnt,213
324,whiskey,213
325,char,212
326,quality,211
327,hot,211
328,want,209
329,didn,209
330,foamy,209
331,incredibly,208
332,make,208
333,warming,208
334,brings,207
335,11,206
336,piney,206
337,similar,205
338,getting,204
339,grass,204
340,far,204
341,experience,203
342,extremely,201
343,double,199
344,hard,198
345,chewy,198
346,faint,198
347,hay,195
348,25,195
349,tree,194
350,glad,194
351,rum,194
352,raisins,194
353,point,194
354,somewhat,192
355,outstanding,192
356,coming,192
357,did,191
358,trillium,191
359,frothy,191
360,espresso,190
361,served,188
362,new,188
363,oil,188
364,ipas,187
365,grassy,186
366,bold,186
367,nearly,186
368,dipa,185
369,papaya,184
370,fingers,184
371,lighter,184
372,warm,184
373,bottled,183
374,dissipates,183
375,murky,182
376,haze,182
377,tried,182
378,bread,182
379,semi,181
380,enjoyed,181
381,zest,181
382,real,180
383,leaving,179
384,bomb,179
385,different,177
386,refreshing,176
387,finally,176
388,dried,176
389,candy,175
390,certainly,175
391,straw,175
392,actually,174
393,highly,174
394,mix,173
395,rind,172
396,gets,172
397,slowly,172
398,citra,172
399,carbonated,171
400,kind,171
401,tasted,171
402,lambic,168
403,wild,167
404,inch,167
405,barnyard,166
406,depth,166
407,slick,165
408,bready,165
409,pint,164
410,sharp,164
411,syrupy,164
412,texture,164
413,wet,163
414,truly,163
415,surprisingly,162
416,pink,162
417,enjoy,162
418,left,161
419,damn,160
420,jet,159
421,lime,158
422,peel,157
423,chili,157
424,brett,157
425,resin,157
426,dated,156
427,middle,154
428,oaky,154
429,classic,153
430,smoke,153
431,unique,153
432,resinous,153
433,porter,152
434,brandy,152
435,citrusy,152
436,wasn,152
437,barrels,151
438,adds,151
439,goes,151
440,khaki,150
441,stuff,150
442,plum,150
443,charred,149
444,average,149
445,things,148
446,background,147
447,collar,147
448,candied,147
449,especially,146
450,guava,146
451,regular,146
452,cake,145
453,17,144
454,ll,144
455,neipa,144
456,vinegar,144
457,feels,143
458,2015,142
459,starts,142
460,near,142
461,release,141
462,woody,141
463,ml,141
464,hill,141
465,ago,140
466,wish,140
467,hidden,140
468,liquid,139
469,moderately,138
470,cloying,138
471,wheat,138
472,close,137
473,velvety,136
474,interesting,136
475,ruby,136
476,loads,136
477,aging,136
478,easily,135
479,musty,135
480,consumed,134
481,expect,134
482,motor,134
483,15,134
484,dessert,133
485,raspberries,132
486,flavorful,132
487,bad,132
488,saison,131
489,lovely,131
490,2021,130
491,nutty,130
492,decadent,130
493,barleywine,130
494,age,130
495,teku,129
496,edge,129
497,peppery,129
498,noticeable,128
499,750ml,128
500,impressive,128
501,warmth,127
502,prominent,127
503,drinks,127
504,lactic,127
505,typical,127
506,massive,126
